DATA,1,ZŁ,,,
KTG,PODSTAWOWE ARTYKUŁY,,,,
SUBKTG,podkategria,,1,2,3
Atrament,Buteleczka 10ml. Atramentu.,5,4,7,8
Bardon,Instrument muzyczny podobny do liry i lutni.,140,5,2,6
Barwniki kreślarskie,Mała puszka - 10 ml.,15,6,1,1
Beczułka,"5l, drewniana, z odkrywanym deczkiem.",15,1,2,0
Bęben,"Mały rozmiar, średniej jakości robota.",30,4,1,0
Bicz,"Patrz: bat, kańczug.",10,4,0,-2
Bukłak,"Półtora litra. Skórzany, zatykany korkiem.",24,4,0,-3
Chorągiew,"W trzech dostępnych kolorach; biała, pomarańczowa i czerwona.",5,5,-1,-4
Cytra,"Mały rozmiar, średniej jakości robota.",40,5,-1,-6
Donica,"Gliniana, zdobiona i malowana, ok 4l.",18,5,-2,-7
Drabina,"5m, drewniana, udźwig 1t.",80,5,-3,-8
Dzban,"Zdobiony, 3litry, doskonały kształt i wykonanie, gliniany.",60,5,-3,-9
Fajka,"Zwykła, gliniana",7,6,-4,-11
Flaga,"W zależności od wykonania i wielkości; 1S mała, 5S średnia, 1Z, 5S duża",,6,-4,-12
Flecik,"Mały rozmiar, średniej jakości robota.",12,6,-5,-13
Fletnia,"Mały rozmiar, średniej jakości robota.",18,6,-6,-15
Garnek,"3 litry, gliniany.",14,6,-6,-16
Gęsie pióro,Zaostrzone do pisania.,2,7,-7,-17
Gwóźdź (Paczka 10),"10cm., +1 do zadawanych obrażeń.",2,7,-7,-19
Haczyk,"Na ryby, żelazny.","0,4",7,-8,-20
Harfa,"Mały rozmiar, średniej jakości robota.",30,7,-9,-21
Hubka,Na 10 razy.,4,7,-9,-22
Igła,,"0,4",8,-10,-24
Juki,"60litrów, 200 kg, 3000 monet.",500,8,-10,-25
Kadzidło,(Żywiczne) Na 6 godzin.,5,8,-11,-26
Kadzielnica,Mała.,10,8,-12,-28
Kadź,"Drewniane: 50l - 4S, 150l - 2Z, 500l - 5Z, 1000l - 9,5Z Żelazne: Cena razy 2,5x. ",,8,-12,-29
Kilof,Żelazny.,16,9,-13,-30
Klepsydra,Półgodzinna.,16,9,-13,-32
Kłódka dobra,"Stalowa, nowy wytop, nowy mechanizm.",80,9,-14,-33
Kłódka kiepska,Prawdopodobnie przedkatastroficzna.,15,9,-15,-34
Koc wełniany,"Niewielki, ciepły koc",50,9,-15,-35
Koc wojłokowy,"Niewielki, ciepły koc",30,10,-16,-37
Kołdra,Kołdra pierzowa,15,10,-16,-38
Kołki do wspinaczki,"Dobre drewno z niewielkimi okuciami i metalowym wnętrzem, obwiązane rzemieniami.",10,10,-17,-39
Korzeń mydelnicy,"Można użyć jak mydło, lecz głównie ozdobna",7,10,-18,-41
Kosa,Kosa do traw.,60,10,-18,-42
Kosz,"Pleciony, 20 litrów",15,11,-19,-43
Kowadło,"80 cm. wys., 200kg.",1200,11,-19,-45
Kreda,"Do pisania, 1/10 kg.","0,4",11,-20,-46
Krzesiwo,,5,11,-21,-47
Książka,"Zwykła, pergaminowa, w grubej skórzanej okładce z okuciami.",1,11,-21,-48
Latarnia,"10-20m. promienia, czas zależy od oliwy (max. 6h, czyli 1 porcja)",160,12,-22,-50
Lina jedwabna,"10 m, 1,5 cm. śr., 200 kg. wytrzymałości. Lina waży 4 kg.",120,12,-22,-51
Lina konopna cienka,"10 m, 1,5 cm. śr., 130 kg. wytrzymałości. Lina waży 4 kg.",100,12,-23,-52
Lina konopna gruba,"10 m, 3cm. śr., 450kg. wytrzymałości. Lina waży 12 kg.",480,12,-24,-54
Linka jedwabna,"10 m, 0,5cm. śr., 90kg. wytrzymałości. Linka waży 1,5 kg.",80,12,-24,-55
Linka konopna,"10 m, 0,5cm. śr., 50kg. wytrzymałości. Linka waży 1,5 kg.",50,13,-25,-56
Lira,"Mały rozmiar, średniej jakości robota.",900,13,-25,-58
Lutnia,"Mały rozmiar, średniej jakości robota.",200,13,-26,-59
Łom,"Kawałek metalowego, zakrzywionego na końca drąga, bardzo wytrzymały.",20,13,-27,-60
Łopata,,40,13,-27,-61
Łuczywo,K1awałek smolnego drzewa do oświetlania.,3,14,-28,-63
Łyżka,,1,14,-28,-64
Mały nożyk,,1,14,-29,-65
Manierka,Pół litra,10,14,-30,-67
Manierka,Jeden litr.,16,14,-30,-68
Mapa gwiazd,Wymaga zaawansowanych zdolności nawigacyjnych. Działa również na morzu.,400,15,-31,-69
Mapa terenu,Duża skala. Dosyć drobne detale; pergamin; rozmiar: ponad metr kwadratowy.,500,15,-31,-71
Mieszek,Wysadzanie diamentami +5Z; Nieprzemakalna skóra +5S; Upgrade maga +10Z - Lok. Lub zabez.,20,15,-32,-72
Miotła,,10,15,-33,-73
Miska,,7,15,-33,-74
Młot,"Mały rozmiar, średniej jakości robota. Kowalski +2S; Jakość +5M",24,16,-34,-76
Nafta do lamp,"Specjalna oliwa do lampy, pali się dłużej (8h). ",6,16,-34,-77
Narzuta na konia,"Specjalna narzuta na konia. Ocieplana +1,2S; Dowolny kamuflaż +1Z.",150,16,-35,-78
Nici,,"0,2",16,-36,-80
Nożyce,"Służą do cięcia, np. materiału. Do cięcia metalu +1S.",5,16,-36,-81
Nóż,Dosyć długi. Niektórymi można skutecznie rzucać.,2,17,-37,-82
Obcęgi,"50cm. dł. kowalskie, średniej jakości robota. Jakość +4M.",30,17,-37,-84
Olejek pachnący,"Popularny rodzaj. Jeden mały flakonik, można użyć ok. 100 razy.",45,17,-38,-85
Oliwa,100ml. W lampie pali się 6h.,6,17,-39,-86
Osełka,Niewielka.,2,17,-39,-87
Ostrogi,Można je przymocować tylko do butów jeździeckich. Zwiększają sterowność wytrenowanym koniem.,30,18,-40,-89
Perfumy,"Dosyć dobre. Mały flakonik, można użyć ok. 100 razy.",160,18,-40,-90
Pergamin,1 kartka,"0,75",18,-41,-91
Pochodnia,"5h, 10m. Oświetlenia",6,18,-42,-93
Popielniczka,Miedziana.,40,18,-42,-94
Pościel,"Prześcieradło, i poduszka z pierzyną z gęsiego puchu.",60,19,-43,-95
Przybornik złodziejski,"Składają się nań różnego rodzaju wytrychy, pręty, drut, cążki, świder, pilniki.",200,19,-43,-97
Sito kuchenne,,4,19,-44,-98
Raki,Metalowe. Do wspinania się / chodzenia po lodzie.,80,19,-45,-99
Sagan,Trzy litry. Metalowy.,32,19,-45,-100
Sakwa,"Litr, 1/2kg, 50 monet.",12,20,-46,-102
Sakwojaż duży,Sakwa przymocowywana do siodła. 5 litrów.,30,20,-46,-103
Sakwojaż mały,Sakwa przymocowywana do siodła. 3 litry.,24,20,-47,-104
Sieć,"Z linek 0,3 cm śr., 100 kg. wytrzymałości. 1m2. 5cm2 oka.",40,20,-48,-106
Sieć rybacka,30m2. Upgrade magiiczny +10Z - Antymagiczna sieć.,250,20,-48,-107
Siekierka,Dobra do rąbania drewna. Średniej jakości robota. Jakość +5M.,40,21,-49,-108
Skrzynia (przenośna),"1m/pół m/pół m., drewniana z okuciami, 1tona max.",100,21,-49,-110
Spirytus,"1litr, łatwopalny.",60,21,-50,-111
Szczotka z kijem,Do podłogi,8,21,-51,-112
Sznurek,2m konopnego sznurka.,"0,5",21,-51,-113
Świeca jasnopaląca,"2,5 godziny, 5m promienia, łatwo zgasić.",5,22,-52,-115
Świeca z miarką,"Miarka podzielona jest na 12 kwadransów, te dalej na odstępy pięciominutowe. 3h all.",5,22,-52,-116
Świece długopalące,"7 godzin, 2,5m promienia w miarę dobrej widoczności, łatwo zgasić.","0,7",22,-53,-117
Świece wonne,"3 godziny, 3m promienia, łatwo zgasić.",1,22,-54,-119
Świeczka,"3 godziny, 3m promienia, łatwo zgasić.","0,5",22,-54,-120
Torba podróżna,"Skórzana. 70 litrów, wytrzymała, wygodna.",80,23,-55,-121
Trąbka,"Mały rozmiar, średniej jakości robota.",80,23,-55,-123
Tuba na mapy i zwoje,"Skórzana, 135 cm głębokości.",60,23,-56,-124
Waga kupiecka,Z kompletem dziesięciu odważników.,120,23,-57,-125
Wędka,"3m, drewniana, zwyczajna.",12,23,-57,-126
Węgiel do pisania,,"0,5",24,-58,-128
Wiadro,"5l, drewniane.",12,24,-58,-129
Widelec,,2,24,-59,-130
Widły,,16,24,-60,-132
Worek 1,"20 litrów, skórzany. Z boczną kieszenią.",20,24,-60,-133
Worek 2,"40 litrów, skórzany. Dwie kieszenie boczne.",40,25,-61,-134
Worek 3,"65 litrów, skórzany. Dwie kieszenie boczne.",60,25,-61,-136
Worek na wodę,"8 litrów. Skórzany, zatykany korkiem i wiązany.",25,25,-62,-137
Zgrzebło,Do czesania sierści zwierząt.,8,25,-63,-138
Żyłki,10 metrów ze spreparowanych jelit zwierzęcych.,4,25,-63,-139
Beczka,"100l, drewniana",80,26,-64,-141
KTG,BROŃ,,26,-64,-142
Berdysz,Szeroki topór o zakrzywionym ostrzu i długim drzewcu (do 2 m).,350,26,-65,-143
Kańczug,Bicz z plecionego rzemienia na krótkim kiju.,"2,7S",26,-66,-145
Buzdygan,,250,26,-66,-146
Cięciwa konopna,,6,27,-67,-147
Cięciwa z jelit,,12,27,-67,-149
Cięciwa z włosia,,24,27,-68,-150
Czekan,"Rodzaj jednostronnego, jednoręcznego toporka na długim trzonku, używanego do rozbijania zbroi.",120,27,-69,-151
Garota,"Kawałek nieelastycznego, wytrzymałego materiału, służący do duszenia; np. żyłka.",8,27,-69,-152
Garota specjalna,Szybsza i silniejsza od zwykłej garoty. Tnie nawet palce.,40,28,-70,-154
Gizarma,"Dwuręczna; przypomina szpikulec, często z jednym lub dwoma bocznymi kolcami.",250,28,-70,-155
Glewia,"Dwuręczna; zagięte ostrze na drzewcu, często z dodanym szpikulcem.",250,28,-71,-156
Drewniany grot,Nasadka na końce łuku do zaczepienia cięciwy. Zdobiony +1M,"0,8",28,-72,-158
Kościany grot,"Nasadka na końce łuku do zaczepienia cięciwy. Zdobiony +1,6M","1,6",28,-72,-159
Metalowy grot,Nasadka na końce łuku do zaczepienia cięciwy. Zdobiony +3M,4,29,-73,-160
Rogowy grot,Nasadka na końce łuku do zaczepienia cięciwy. Zdobiony +5M,6,29,-73,-162
Halabarda,"Długa broń dwuręczna, zakończona piką i jednostronnym ostrzem toporu. Ozdobna +4S.",400,29,-74,-163
Kiścień,Prymitywny morgenstern.,120,29,-75,-164
Kołczan,Na 20 strzał. Ozdobny +2S; Większa pojemność (10) +3S.,50,29,-75,-165
Koncerz,"Broń sieczna o długiej, prostej głowni przeznaczona do kłucia - nadaje się do walki konnej.",300,30,-76,-167
Kopia,"Ok. 4m. Tylko z konia, z rozpędu i na dystans. Ozdobna głownia +2Z.",1600,30,-76,-168
Korbacz,Inaczej harap (bicz z krótkim trzonkiem i długim rzemieniem).,4S,30,-77,-169
Krótka dzida,"Prosty, drewniany, zaostrzony kij.",50,30,-78,-171
Lanca,"Dwustronna włócznia, metalowa. Posrebrzana +7S; Ozdobna +7S; Przedłużona +4S.",600,30,-78,-172
Łuk długi I,Tylko długo sezonowane łuki cisowe. Nawet do 2m długości i do 600 m. zasięgu,1600,31,-79,-173
Łuk długi II,Tylko sezonowane łuki jesionowe i cisowe. Nawet do 2m długości i do 500 m. zasięgu.,800,31,-79,-175
Łuk długi III,"Łuki jesionowe, cisowe i z sezonowanej wiśni, wiązu. Nawet do 2m długości i do 500 m.",400,31,-80,-176
Łuk długi IV,"Z wiśni, wiązu, popularnych sprężystych drzew. Nawet do 2m długości i do 350 m.",200,31,-81,-177
Łuk długi V,Najsłabsze łuki: z drzewa gorszego niż wiśnia. Do 2m długości i do 200m.,100,31,-81,-178
Łuk krótki I,Tylko długo sezonowane łuki cisowe. 125m.,200,32,-82,-180
Łuk krótki II,Tylko sezonowane łuki jesionowe i cisowe. 100m.,100,32,-82,-181
Łuk krótki III,"Łuki jesionowe, cisowe i z sezonowanej wiśni, wiązu. Do 70m.",50,32,-83,-182
Łuk krótki IV,"Z wiśni, wiązu, popularnych sprężystych drzew. 35m",30,32,-84,-184
Łuk krótki V,Najsłabsze łuki: z drzewa gorszego niż wiśnia. 25m.,20,32,-84,-185
Łuk zwykły I,"Tylko długo sezonowane łuki cisowe. 1m 10cm długości, 300m zasięgu.",400,33,-85,-186
Łuk zwykły II,"Tylko sezonowane łuki jesionowe i cisowe. 1m 10cm długości, 200m zasięgu.",300,33,-85,-188
Łuk zwykły III,"Łuki jesionowe, cisowe i z sezonowanej wiśni, wiązu. 1m 10cm długości, 150m.",220,33,-86,-189
Łuk zwykły IV,"Z wiśni, wiązu, popularnych sprężystych drzew. 1m 10cm długości, 100m zasięgu.",150,33,-87,-190
Łuk zwykły V,"Najsłabsze łuki: z drzewa gorszego niż wiśnia. 1m 10cm długości, 70m. zasięgu.",70,33,-87,-191
Maczuga bojowa,"Ciężka, stalowa maczuga jednoręczna.",300,34,-88,-193
Maczuga dwuręczna,Ozdobna +4S; Pozłacana +8S; Posrebrzana +5S.,600,34,-88,-194
Maczuga krótka lub pałka,Ozdobna +2S.,80,34,-89,-195
Miecz (jednoręczny),Ozdobny +2S.,120,34,-90,-197
Miecz dwuręczny,Ozdobny +3S,240,34,-90,-198
Miecz krótki,Ozdobny +1S.,70,35,-91,-199
Miecz na półtorej ręki,Ozdobny +3S.,200,35,-91,-201
Miecz półtoraręczny,Ozdobny +3S.,300,35,-92,-202
Młot bojowy,Ozdobny +2S.,120,35,-93,-203
Młot bojowy dwuręczny,Ozdobny +3S.,240,35,-93,-204
Morgenstern,Ozdobny +4S.,400,36,-94,-206
Nóż,Ozdobny +2M.,20,36,-94,-207
Ochronka na palce,"Po krytycznej porażce i rzucie 1k6, niweluje porażkę na ""3"".",16,36,-95,-208
Oszczep,"Broń miotana, gorzej sprawdza się w walce bezpośredniej.",24,36,-96,-210
Pałasz,"Proste ostrze, skrzyżowanie miecza z szablą.",50,36,-96,-211
Pas do miecza,Skórzany. Ozdobny +1S; Z wyszytymi kieszonkami +2S; Zabarwiony +1S.,70,37,-97,-212
Pendent,Pas zakładany przez ramię do noszenia na nim broni białej.,100,37,-97,-214
Pika,Prosta włócznia.,40,37,-98,-215
Pochwa na miecz,Skóra i elementy metalowe. Utwardzenie (umożliwienie walki) +1S; Ozdobna +1S.,60,37,-99,-216
Pochwa na nóż,Skórzana. Dodatkowy miejsce na nóż +4M; Ozdobna +5M.,20,37,-99,-217
Proca,Z drewnianym uchwytem. Ozdobna +3M.,20,38,-100,-219
Smarowidło do cięciw,Nieduże puzderko z tłuszczem zwierzęcym. 10 x użyć. W wypadku k.porażki 4-6 niweluje.,20,38,-100,-220
Strzała długa,,8,38,-101,-221
Strzała krótka,,2,38,-102,-223
Strzała zwykła,,4,38,-102,-224
Szabla,,120,39,-103,-225
Sztylet,"Długi, wąski sztylet. Ozdobny +7M; Wysadzany diamentami +1Z.",40,39,-103,-227
Topór (jednoręczny),,60,39,-104,-228
Topór dwuręczny,,160,39,-105,-229
"Topór dwuręczny, dwustronny",,260,39,-105,-230
"Topór jednoręczny, dwustronny",,200,40,-106,-232
Trójząb bojowy,,300,40,-106,-233
Włócznia,,80,40,-107,-234
KTG,PANCERZE,,40,-108,-236
Brygantyna bez rękawów,Zbroja płytkowa nakładana na kolczugę.,400,40,-108,-237
Brygantyna cienka,Koszula łuskowa.,250,41,-109,-238
Brygantyna z rękawami,Zbroja płytkowa nakładana na kolczugę.,600,41,-109,-240
Buty,,20,41,-110,-241
Buty stalowe,Element zbroi rycerskiej.,150,41,-111,-242
Fartuch stalowy,"Zasłania dolną część brzucha, pod napierśnikiem. 1-3 na tułowiu: chroni przed pchnięciami i strzałami.",120,41,-111,-243
Folgi,Stalowe buty do jazdy konno w zbroi.  Nie da się w nich normalnie chodzić.,250,42,-112,-245
Hełm brygantynowy,,300,42,-112,-246
Hełm kolczy z osłoną szyi,,400,42,-113,-247
Hełm skórzany utwardzany,,120,42,-114,-249
Hełm skórzany z elementami metalu,,150,42,-114,-250
Hełm żelazny,"Ma otwory oddechowe, obojczyk, grzebień, nos, podbródek.",300,43,-115,-251
Hełm żelazny 1,"Przykrywa tylko górną część czaszki, utrzymuje się na wypustach za i przed uszy.",200,43,-115,-253
Hełm żelazny 2,"Z wypustem na czole, z tyłu aż do szyi.",150,43,-116,-254
Hełm żelazny z siatką,Ma osłonę nosa i kości policzkowych.,250,43,-117,-255
Kamizelka kevlarowa,"Stara kamizelka kuloodporna. Obrażenia każdego pocisku zredukowane do 0,5.",5000,43,-117,-256
Kaftan kolczy z rękawami,Kółkowa.,120,44,-118,-258
Koszulka kolcza,"Cienka (ale watowana), bez rękawów.",120,44,-118,-259
Koszulka łuskowa bez rękawów,"Cienka brygantyna, łuskowa, dobre wykonanie.",400,44,-119,-260
Koszulka łuskowa z rękawami,"Cienka brygantyna, łuskowa, dobre wykonanie.",500,44,-120,-262
Nagolennik,,120,44,-120,-263
Nakolannik,,120,45,-121,-264
Nałokcica,Osłania łokieć.,120,45,-121,-266
Napierśnik 1,"Mały, niezasłaniający górnej części brzucha.",350,45,-122,-267
Napierśnik 2,"Duży, do pełnej zbroi, zasłaniający górną część brzucha.",450,45,-123,-268
Naplecznik 1,"Skórzany, utwardzany.",200,45,-123,-269
Naplecznik 2,"Metalowy, ze skórzanym podbiciem.",250,46,-124,-271
Naramiennik,,150,46,-124,-272
Naramiennik skórzany,,75,46,-125,-273
Opracha,Osłania biceps.,75,46,-126,-275
Pawęż,"Tarcza prostokątna, szeroka na 60, wysoka na 150 cm. Drewniana i okuta metalem.",100,46,-126,-276
Pełna zbroja płytowa i hełm,Tylko na zamówienie (musi być dopasowana do rozmiarów noszącego).,12000,47,-127,-277
Puklerz,"Okrągła, wypukła tarcza używana przez jazdę. 30 cm średnicy; metalowa; O +1; 2kg.",170,47,-127,-279
Rękawice skórzane,,50,47,-128,-280
Rękawice stalowe,,150,47,-129,-281
Skórzana kurta,"Jeleń, bez kaptura.",60,47,-129,-282
Spodnie łuskowe,"Ze zbroi łuskowej na miękkim podbiciu. W, Sz: -1. pp 4.",400,48,-130,-284
Szyszak,"Spiczasty hełm, często zakończony buńczukiem - pękiem włosia. ",220,48,-130,-285
Tarcza 1,"Niewielka zasłona przymocowywana do ręki, zwykle okrągła lub podłużna, metalowa.",90,48,-131,-286
Tarcza 2,"Żelazna, okrągła, 60 cm średnicy.",360,48,-132,-288
Tarcza 3,Kształtem przypomina trójkąt o 70 cm wysokości i 60 szerokości. Metalowa.,360,48,-132,-289
Tarcza 4,"Drewno i okucia żelazne, okrągła; 100 cm średnicy.",160,49,-133,-290
Tarcza 5,Kształtem przypomina długi trójkąt: 110 cm wysokości; 60 szerokości. Metalowa.,450,49,-133,-292
Tarcza 6,"Tarcza wieżowa, drewno okute metalem. 130 cm wysokości; 50 szerokości.",350,49,-134,-293
Tarcza 7,Metalowa tarcza wieżowa. 150 cm wysokości; 50 cm szerokości.,800,49,-135,-294
Taszka,Stalowy zwis osłaniający pachwinę i górną część uda.,80,49,-135,-295
Udo - dodat. ochrona,,80,50,-136,-297
Zarękawica metalowa,Osłania część przedramienia niezakrytą przez rękawicę.,120,50,-136,-298
Zarękawice skórzane,Mogą służyć jako osłona przed szponami ptaków łownych.,40,50,-137,-299
Zbroja dla konia,Wraz z uprzężą i specjalnym siodłem.,4000,50,-138,-301
KTG,TRANSPORT,,50,-138,-302
Bosak,"3,5m, służy do przyciągania łodzi.",50,51,-139,-303
Chomąto,Drewniany kabłąk o miękkim podszyciu wkładany na szyję zwierząt pociągowych.,60,51,-139,-305
Czerpak,"3 litry, drewniany",10,51,-140,-306
Derka,"Gruby, włochaty koc używany pod siodło lub po prostu dla ocieplenia konia.",35,51,-141,-307
"Drzewce, np. bom.","Za 1m długości, okute żelazem, cena w przybliżeniu",2,51,-141,-308
Dyszel,(Drąg umocowany z przedniej strony wozu). Na cztery konie.,30,52,-142,-310
"Dżonka, kanoe","Zwykle z wypalonego pnia lub z kory; lekka, b. płytkie zanurzenie; używana na bagnach.",320,52,-142,-311
Jarzmo,"Ciężka, drewniana rama zakładana na karki bydła roboczego.",100,52,-143,-312
Juki,"60litrów, 200 kg, 3000 monet. Porządne, skórzane juki. Ukryta kieszeń +3S.",500,52,-144,-314
Kantar,"Skórzana lub parciana (tu skórzana) uzda bez wędzidła, z kółkiem do założenia łańcucha.",16,52,-144,-315
Kareta,"Kryta, z podwójnymi drzwiczkami i okienkami, zdobiona. 1,2 lub 3 tonowa.",2500,53,-145,-316
Koło do wozu,Okute drewno.,16,53,-145,-318
Kotwica,"Bez liny kotwicznej, 200kg. ciężaru.",80,53,-146,-319
Kulbaka,"Siodło wojskowe. Rodzaj siodła krytego skórą, zwykle o wysokim łęku.",,53,-147,-320
Łódź wiosłowa,"2,5 m długości, 2 t udźwigu, miejsce na 2 wiosła. Prędkość: ok 5 km/h. Popularna.",2000,53,-147,-321
